Atom,Functional group,Atom type,Description,Frequency,SMARTS,Comments,Structure used for verification
C,Alkane,C1a,R-CH3,16473,C[D1;C],,CC(C=C)CC(C)(C)CC(O)CC=CCO
C,Alkane,C1b,R-CH2-R,20193,C[D2;C]C,,CC(C=C)CC(C)(C)CC(O)CC=CCO
C,Alkane,C1c,R-CH(-R)-R,4964,C[D3;C](C)C,,CC(C=C)CC(C)(C)CC(O)CC=CCO
C,Alkane,C1d,R-C(-R)2-R,698,C[D4;C](C)(C)C,,CC(C=C)CC(C)(C)CC(O)CC=CCO
C,Cyclic alkane,C1x,ring-CH2-ring,14010,[C;R][D2;C][C;R],,C1C(C(C(C(O1)))CCCO)O
C,Cyclic alkane,C1y,ring-CH(-R)-ring,27376,[C;R][D3;C](C)[C;R],,C1C(C(C(C(O1)))CCCO)O
C,Cyclic alkane,C1z,ring-C(-R)2-ring,4463,[C;R][D4;C](C)(C)[C;R],,C1C(C(C(C(O1)))(CCCO)(CCO))O
C,Alkene,C2a,R=CH2,634,C=[H2],,CC(C=C)CC(C)(C)CC(O)CC=CCO
C,Alkene,C2b,R=CH-R,3965,[!D1;C]=[D2;C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(O)CC=CCO
C,Alkene,C2c,R=C(-R)2,1914,[!D2;!D1;C]=[C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(O)CC=CCO
C,Cyclic alkene,C2x,ring-CH=ring,2964,[C;R][D2;C]=[C;R],,C1C(C(=C(C(O1))))O
C,Cyclic alkene,C2y,ring-C(=R)-ring,3722,[C;R][D3;C](=C)[C;R],,C1C(C(C(C(O1)))=CCCO)O
C,Cyclic alkene,C2y,ring-C(-R)=ring,3722,[C;R][D3;C](C)=[C;R],,C1C(C(=C(C(O1)))CCCO)O
C,Alkyne,C3a,R#CH,43,C#[D1;C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(O)CC=CC#C
C,Alkyne,C3b,R#C-R,282,C#[D2;C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(O)CC=CC#CCCO
C,Aldehyde,C4a,R-CH=O,350,O=[D2;C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(CC=O)CC=CC#CCCO
C,Ketone,C5a,R-C(=O)-R,3595,C(=O)(C)C,,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
C,Cyclic ketone,C5x,ring-C(=O)-ring,2257,[C;R][D3;C](=O)[C;R],,C1C(C(C(C(O1)))=O)O
C,Carboxylic acid,C6a,R-C(=O)-OH,3190,CC(=O)[D1;O],,NCC(CO)=C(CCCC(=O)O)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
C,Carboxylic ester,C7a,R-C(=O)-O-R,1691,CC(=O)[D2;O]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
C,Carboxylic ester,C7x,ring-C(=O)-O-ring,869,[C;R](=O)[D2;O][C;R],,C1C(C(C(C(O1)=O)))O
