,inchi,mono_isotopic_molecular_weight,creation_time,description,formula,functional_sets,last_modified,reference_xrefs,synonyms,unique_id,url,username,name,label,rt_min,rt_max,rt_peak,mz,mz_tolerance,polarity
&beta;-alanine betaine,"InChI=1S/C6H13NO2/c1-7(2,3)5-4-6(8)9/h4-5H2,1-3H3",131.094635009766,1444322245,,C6H13NO2,,1456787042,,,26917412a19444bd9a2a547e411e9246,,kblouie,&beta;-alanine betaine,Alanine betaine,5.67,6.27,5.97,132.1018847,10.0,positive
L-proline betaine,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",143.094635009766,1444322245,,C7H13NO2,,1456787042,,,ace1bcc8587d4c9eac68ea6971b9142d,,kblouie,L-proline betaine,Stachyhydrone (proline betaine),5.76,6.36,6.06,144.1018847,10.0,positive
trimethylamine <i>N</i>-oxide,"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3",75.0684127807617,1444322179,,C3H9NO,,1456787042,,,2cf6f12ffd5e40739ea54b1c27d63c10,,kblouie,trimethylamine <i>N</i>-oxide,TMAO (trimethylamine N-oxide),6.24,6.84,6.54,76.07567,10.0,positive
glycine betaine,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",117.078979492188,1444322230,,C5H11NO2,,1456787042,,,c7a3ecded4664c37abeceb1b0c0913fb,,kblouie,glycine betaine,betaine (glycine betaine),6.35,6.95,6.65,118.086235,10.0,positive
Arsenobetaine,,,,,,,,,,,,,Arsenobetaine,Arsenobetaine,6.36,6.96,6.66,179.004757,10.0,positive
Trigonelline,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",,1449629222,Added 20151208 Missing Pactolus Tree Inchi lookup from pubchem REST query,,,1456787042,,"""1-Methyl-3-pyridiniumcarboxylate"",""1-Methyl-Nicotinic Acid Anion(Trigonelline)"",""1-Methylpyridinio-3-carboxylate"",""1-methylnicotinate"",""1-methylpyridin-1-ium-3-carboxylate"",""1-methylpyridin-1-ium-3-carboxylic acid"",""1-methylpyridine-3-carboxylic acid"",""1-methylpyridinium-3-carboxylate"",""3-Carboxy-1-methylpyridinium hydroxide inner salt"",""3-Carboxy-1-methylpyridinium hydroxide, inner salt"",""3-carboxy-1-methyl-Pyridinium hydroxide inner salt"",""3NQ9N60I00"",""5-22-02-00143 (Beilstein Handbook Reference)"",""535-83-1"",""60388-20-7 (tosylate)"",""6138-40-5"",""6138-41-6 (chloride)"",""AB00052974"",""AB0020602"",""AC1L1KN5"",""AKOS005067859"",""AN-45679"",""AP-163/40806827"",""BRN 3905114"",""BT000144"",""Betain nicotinate"",""Betaine nicotinate"",""C01004"",""CCG-38517"",""CCRIS 1332"",""CHEBI:18123"",""CHEMBL350675"",""Caffearin"",""Caffearine"",""Coffearin"",""Coffearine"",""EINECS 208-620-5"",""FT-0689338"",""Gynesine"",""HE030329"",""HE349741"",""HMDB00875"",""HMS2096H08"",""HMS2234K22"",""HMS3371K21"",""HSDB 7684"",""KB-160113"",""LS-1330"",""MLS002153895"",""MolPort-002-495-927"",""N'-Methylnicotinate"",""N'-Methylnicotinic acid"",""N-Methylnicotinate"",""N-Methylnicotinic acid betaine"",""N-Methylnicotinic acid"",""N-methyl-nicotinate"",""NCGC00095649-01"",""NCGC00095649-02"",""NCGC00095649-03"",""NCGC00095649-04"",""NSC-714350"",""NSC714350"",""Nicotinic acid N- methylbetaine"",""Nicotinic acid N-methylbetaine"",""OR280317"",""PYRIDINIUM,3-CARBOXY-1-METHYL-, HYDROXIDE (1:1)"",""Pyridinium, 3-carboxy-1-methyl-, hydroxide, inner salt (8CI)"",""Pyridinium, 3-carboxy-1-methyl-, hydroxide, inner salt"",""Pyridinium, 3-carboxy-1-methyl-, inner salt"",""Pyridinium,3-carboxy-1-methyl-, inner salt"",""SBB085963"",""SCHEMBL195666"",""SDCCGMLS-0066739.P001"",""SMR001233244"",""SPECTRUM1500880"",""Trigenelline"",""Trigenolline"",""Trigonellin"",""Trigonelline"",""UNII-3NQ9N60I00"",""V1545"",""W-105723"",""WWNNZCOKKKDOPX-UHFFFAOYSA-N"",""ZB000241"",""ZINC00001082""",d50b9c86053044d3991de1e4ee318fd8,,kblouie,Trigonelline,Trigonelline,7.11,7.71,7.41,138.054935,10.0,positive
Betonicine,"InChI=1S/C7H13NO3/c1-8(2)4-5(9)3-6(8)7(10)11/h5-6,9H,3-4H2,1-2H3/t5-,6+/m1/s1",,1449629338,Added 20151208 Missing Pactolus Tree Inchi lookup from pubchem REST query,,,1456787042,,"""(-)-Betonicine"",""(2,4R)-4-hydroxy-1,1-dimethylpyrrolidinium-2-carboxylate"",""(2S,4R)-4-hydroxy-1,1-dimethyl-pyrrolidin-1-ium-2-carboxylic acid"",""(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate"",""(2S-trans)-2-Carboxylato-4-hydroxy-1,1-dimethylpyrrolidinium"",""3B3-024578"",""4-Hydroxy-1,1-dimethylpyrrolidinium-2-carboxylate"",""4-Hydroxystachydrine"",""515-25-3"",""AC1L4V67"",""AC1Q5BF7"",""AR-1J2910"",""Ambap515-25-3"",""Betonicine"",""C08269"",""CHEBI:81"",""CHEBI:85533"",""EINECS 208-195-6"",""FBA654632Q"",""FT-0632264"",""HE005780"",""HE347433"",""NSC 655264"",""Pyrrolidinium, 2-carboxy-4-hydroxy-1,1-dimethyl-, hydroxide, inner salt, (2S-trans)-"",""Pyrrolidinium, 2-carboxy-4-hydroxy-1,1-dimethyl-, inner salt, (2S,4S)-"",""SCHEMBL893616"",""UNII-FBA654632Q"",""l-4-hydroxystachydrine"",""trans-4-hydroxy-L-proline betaine"",""trans-hydroxyproline betaine""",92808cecee67434b91edfb149a8ecc11,,kblouie,Betonicine,Betonicine,7.88,8.48,8.18,160.0967993,10.0,positive
Beta-alanine betaine,"InChI=1S/C6H13NO2/c1-7(2,3)5-4-6(8)9/h4-5H2,1-3H3",,1449629184,Added 20151208 Missing Pactolus Tree Inchi lookup from pubchem REST query,,,1456787042,,"""(2-Carboxyethyl)trimethylammonium hydroxide, inner salt (7CI)"",""3-(trimethylammonio)propanoate"",""3-(trimethylazaniumyl)propanoate"",""AC1L9B6A"",""Beta-alanine betaine"",""C08263"",""CHEBI:28825"",""N,N,N-trimethyl-beta-alanine"",""Propiobetaine"",""SCHEMBL3497626"",""beta-Alaninebetaine"",""beta-Homobetain"",""beta-Homobetaine"",""trimethylammoniopropionate""",3040341bbe5b4d4aba04d35919014476,,kblouie,Beta-alanine betaine,Propiobetaine (or beta-alanine betaine),9.15,9.75,9.45,132.1018847,10.0,positive
2-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol,"InChI=1S/C9H18O8/c10-1-4(2-11)16-9-8(15)7(14)6(13)5(3-12)17-9/h4-15H,1-3H2/t5-,6-,7+,8-,9+/m1/s1",254.100173950195,1444322183,,C9H18O8,,1456787042,,,7979982c7015495285f07f6f8beb7f80,,kblouie,2-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol,glucosylglycerol,9.41,10.01,9.71,255.107424,10.0,positive
Butyrobetaine,"InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3",,1449629249,Added 20151208 Missing Pactolus Tree Inchi lookup from pubchem REST query,,,1456787042,,"""1-Propanaminium, 3-carboxy-N,N,N-trimethyl-, hydroxide, inner salt (9CI)"",""1-Propanaminium, 3-carboxy-N,N,N-trimethyl-, hydroxide, inner salt"",""2wsx"",""3-Carboxy-N,N,N-trimethyl-1-propanaminium hydroxide inner salt"",""3-Dehydroxycarnitine"",""3-carboxypropyl-trimethyl-ammonium"",""4-(N-Trimethylamino)butyrate"",""4-(trimethylammonio)butanoate"",""4-(trimethylazaniumyl)butanoate"",""4-Butyrobetaine"",""4-trimethylaminobutanoate"",""4-trimethylazaniumylbutanoate"",""407-64-7"",""AC1L19VT"",""AC1Q22DM"",""AKOS025295305"",""AR-1F7316"",""Actinine"",""Ammonium, (3-carboxypropyl)trimethyl-, hydroxide, inner salt"",""Butyrobetaine"",""CHEBI:16244"",""CHEMBL2074645"",""CTK4I3718"",""Deoxycarnitine"",""GTPL6605"",""HMDB06831"",""LS-17141"",""N-Trimethyl-gamma-aminobutyric acid"",""OR039444"",""SCHEMBL233637"",""TX-016860"",""ZB012535"",""ZINC00395560"",""gamma-Butyrobetain [German]"",""gamma-Butyrobetain"",""gamma-butyrobetaine""",f0373055c31f47f0988ab6134571de37,,kblouie,Butyrobetaine,Butyrobetaine (or 4-trimethylammoniobutanoic acid),9.62,10.22,9.92,146.1175347,10.0,positive
