group	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_20_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_20_hr_
file	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_13_time_3_hr__Run25.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_20_time_3_hr__Run34.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_21_time_3_hr__Run60.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_9_time_3_hr__Run7.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_16_time_5_hr__Run31.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_17_time_5_hr__Run51.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_19_time_5_hr__Run63.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_3_time_5_hr__Run10.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_18_time_1_hr__Run42.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_1_time_1_hr__Run4.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_22_time_1_hr__Run54.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_6_time_1_hr__Run19.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_10_time_10_hr__Run66.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_2_time_10_hr__Run13.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_5_time_10_hr__Run22.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_7_time_10_hr__Run48.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_14_time_20_hr__Run39.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_8_time_20_hr__Run57.h5
																		
betaalanine_betaine_positive_5p97	10050250.0	12258509.0	6175533.0	5306230.0	6367215.0	6083533.5	9011837.0	5879433.5	7989667.0	2984523.5	56251608.0	13226094.0	15471332.0	7475269.0	13055882.0	8837900.0	12953531.0	7236535.0
L-proline_betaine_positive_6p06	9881037.0	17827490.0	8838844.0	5729599.0	4319936.0	9666418.0	26882370.0	13881558.0	6081462.0	6667469.5	90438736.0	115776392.0	6624439.0	10069768.0	14219318.0	4134511.75	4494427.0	4370750.0
trimethylamineoxide_positive_6p54	4411.06445312	134896.515625	0.0	269513.9375	6744.89599609	333397.53125	244374.171875	264246.53125	1963.73876953	209427.34375	0.0	68294.5390625	99641.4609375	146597.734375	416136.8125	105033.820312	5384.31152344	65176.7539062
glycine_betaine_positive_6p65	2556708608.0	2360233728.0	2045615872.0	9024816128.0	5607106560.0	2019664640.0	2993951744.0	7813795328.0	2476802816.0	2520097280.0	24854108160.0	14285088768.0	9509140480.0	9573422080.0	2736468480.0	5747705344.0	8278975488.0	5692765184.0
Arsenobetaine_positive_6p66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trigonelline_positive_7p41	8847494.0	4290510.0	3994762.25	10401783.0	4041993.0	3119787.0	4619036.0	10186289.0	5678491.0	4694978.5	180674080.0	2995435.75	32340614.0	38954744.0	4491374.0	5326206.0	6291539.5	4007379.5
Betonicine_positive_8p18	403704.59375	552931.125	703204.8125	613885.8125	332431.6875	367198.1875	214339.1875	887834.0	254998.796875	445633.0625	3499836.0	464383.4375	454237.8125	2280251.25	283937.0625	284730.75	556961.5	228897.953125
Beta-alanine_betaine_positive_9p45	2501852.25	3191845.0	2333458.75	4848493.5	3294565.5	3487620.5	1639760.125	4059263.25	2544894.5	3910286.25	5575776.5	2108208.5	2806347.75	4286242.5	2610256.0	1834097.75	2879578.0	2188749.5
2alphaD-glucopyranosylglycerol_positive_9p71	202311.25	204940.3125	124605.179688	124631.25	73352.1328125	198136.53125	138009.359375	282685.03125	71094.125	151753.515625	303127.59375	195697.859375	665686.75	623889.5	239739.40625	157222.296875	332944.625	331464.125
Butyrobetaine_positive_9p92	1600299.125	1289766.75	2032162.5	972925.25	820126.0625	735934.3125	527643.75	677653.875	2134297.0	401396.15625	2845215.25	1806711.0	1136310.0	472814.625	1329427.625	198911.515625	702447.0	1036318.9375
ergothioneine_positive_10p86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2074.12329102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
taurine_positive_11p50	1228398.0	2431229.0	1616076.25	570750.625	1351614.375	3392125.5	37673092.0	1794289.25	5571061.0	591190.8125	1866652.25	20622890.0	13166395.0	978449.4375	19227730.0	11566533.0	2510571.75	21526916.0
