group	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_3_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_5_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_1_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_10_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_20_hr_	20160202_KBL_QE_HILIC_Brachy_Root_Exudate_POS_20_hr_
file	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_13_time_3_hr__Run25.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_20_time_3_hr__Run34.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_21_time_3_hr__Run60.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_9_time_3_hr__Run7.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_16_time_5_hr__Run31.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_17_time_5_hr__Run51.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_19_time_5_hr__Run63.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_3_time_5_hr__Run10.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_18_time_1_hr__Run42.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_1_time_1_hr__Run4.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_22_time_1_hr__Run54.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_6_time_1_hr__Run19.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_10_time_10_hr__Run66.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_2_time_10_hr__Run13.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_5_time_10_hr__Run22.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_7_time_10_hr__Run48.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_14_time_20_hr__Run39.h5	201622_pHILIC___POS_MSMS_KBL_Qex_Root_BrachyExudate_8_time_20_hr__Run57.h5
																		
betaalanine_betaine_positive_5p97	583004.1875	777202.875	362691.34375	272574.3125	313101.09375	221788.15625	419243.15625	296703.84375	439492.03125	87666.40625	4239494.5	865953.625	1052874.875	437214.53125	823518.1875	529105.5625	795570.75	413444.625
L-proline_betaine_positive_6p06	295416.75	426883.0	379905.46875	195119.484375	149176.484375	308181.40625	878394.3125	547940.875	165740.90625	216298.859375	3486664.25	4713469.0	162750.078125	388828.4375	566461.6875	141929.765625	148190.09375	150705.96875
trimethylamineoxide_positive_6p54	4411.06445312	15957.2880859	0.0	25012.2109375	6744.89599609	29832.9023438	21671.8613281	23772.7128906	1963.73876953	12824.9863281	0.0	8817.38378906	17529.3144531	19214.5175781	31901.96875	11011.3300781	5384.31152344	8169.89550781
glycine_betaine_positive_6p65	79954120.0	76068888.0	68810208.0	336042592.0	223278016.0	66730660.0	101134688.0	286100896.0	78067624.0	88019384.0	690998784.0	500471808.0	408239232.0	343525792.0	85943136.0	231937200.0	334159520.0	217920992.0
Arsenobetaine_positive_6p66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trigonelline_positive_7p41	307488.875	113355.734375	109973.296875	451187.84375	140412.765625	94020.7578125	130016.65625	407350.34375	217187.40625	168677.703125	8828124.0	88731.9453125	1433478.125	1801025.25	144166.015625	174792.484375	204716.78125	147668.6875
Betonicine_positive_8p18	14941.3261719	18831.5800781	28514.4160156	16001.0039062	11592.1455078	9861.95507812	10255.9326172	32277.3886719	9038.52539062	11595.0615234	101546.59375	19286.8359375	16132.6386719	89454.3046875	12914.5888672	12900.4892578	19701.0371094	11995.4902344
Beta-alanine_betaine_positive_9p45	120933.476562	167877.15625	114987.671875	251733.734375	164952.65625	173621.953125	71361.984375	207507.828125	127166.484375	212167.421875	232683.0	90216.9765625	128949.921875	229120.75	121703.867188	79797.2109375	128586.867188	93191.296875
2alphaD-glucopyranosylglycerol_positive_9p71	16632.484375	33989.2460938	11452.7216797	13046.1865234	10539.4951172	20180.8242188	14530.5878906	26853.015625	8958.93164062	16876.2050781	17575.6816406	18336.4121094	56455.4453125	73195.6171875	22478.25	18399.2089844	36560.71875	26663.5117188
Butyrobetaine_positive_9p92	94039.6640625	70991.7421875	112499.335938	52188.7148438	48109.9296875	48228.75	33593.2695312	36514.0039062	123750.570312	21370.4316406	153396.25	96490.28125	64079.8945312	25014.6171875	81423.125	12925.9189453	37026.4101562	62169.8945312
ergothioneine_positive_10p86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2074.12329102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
taurine_positive_11p50	32853.6015625	49913.9179688	36692.0234375	20817.3339844	36170.453125	74825.2265625	651723.0625	79769.28125	111028.320312	19820.3769531	73386.875	387010.78125	252422.5	39065.7265625	338879.9375	226104.78125	68181.7734375	375258.78125
